#YY,MM,DD,hh,mm,WDIR,WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,hPa,degC,degC,degC,nmi,ft
2008,1,5,17,0,66,9,10,99,99,99,999,1026.4,19.9,999,999,99,99
2008,1,5,18,0,68,9,9.8,99,99,99,999,1025.5,19.8,999,999,99,99
2008,1,5,19,0,65,9.8,10.9,99,99,99,999,1024.3,20,999,999,99,99
2008,1,5,20,0,67,9.8,11.2,99,99,99,999,1023.9,20,999,999,99,99
2008,1,5,21,0,66,9,10,99,99,99,999,1023.5,20.3,999,999,99,99
2008,1,5,22,0,78 1,0.5,11,99,99,99,999,1023.4,20.4,999,999,99,99
2008,1,5,23,0,71 1,1.4,12.1,99,99,99,999,1023.4,20.5,999,999,99,99
2008,1,6,0,0,75 1,1,12.2,99,99,99,999,1023.7,20.4,999,999,99,99
2008,1,6,1,0,73 1,1,11.5,99,99,99,999,1024.2,20.5,999,999,99,99
2008,1,6,2,0,80,9.4,10.7,99,99,99,999,1024.6,21,999,999,99,99
2008,1,6,3,0,68,9.4,10.3,99,99,99,999,1025,20.7,999,999,99,99
2008,1,6,4,0,62,9.4,9.9,99,99,99,999,1024.9,20.4,999,999,99,99
2008,1,6,5,0,66,8.3,9.1,99,99,99,999,1024.4,20.5,999,999,99,99
2008,1,6,6,0,69,8.2,8.8,99,99,99,999,1024,20.5,999,999,99,99
2008,1,6,7,0,68,8.6,9.8,99,99,99,999,1023.4,20.6,999,999,99,99
2008,1,6,8,0,68,9,9.7,99,99,99,999,1022.8,20.6,999,999,99,99
2008,1,6,9,0,59,9,9.8,99,99,99,999,1022.7,20.6,999,999,99,99
2008,1,6,10,0,73,8.4,8.9,99,99,99,999,1022.2,20.6,999,999,99,99
2008,1,6,11,0,79,8.9,9.4,99,99,99,999,1022.5,20.8,999,999,99,99
2008,1,6,12,0,77,9.8,10.6,99,99,99,999,1022.9,20.7,999,999,99,99
2008,1,6,13,0,75,9.2,10,99,99,99,999,1023.4,20.6,999,999,99,99
2008,1,6,14,0,73,9.7,10.5,99,99,99,999,1024,20.9,999,999,99,99
2008,1,6,15,0,69,7.8,8.6,99,99,99,999,1024.9,21.1,999,999,99,99
2008,1,6,16,0,64,7.9,8.3,99,99,99,999,1024.8,21,999,999,99,99
2008,1,6,17,0,75,8.8,9.5,99,99,99,999,1024.1,21.2,999,999,99,99
2008,1,6,18,0,79,8.5,9.6,99,99,99,999,1023.2,21.4,999,999,99,99
2008,1,6,19,0,77,8.6,9.4,99,99,99,999,1022.3,21.3,999,999,99,99
2008,1,6,20,0,85,8.7,9.7,99,99,99,999,1021.7,21.6,999,999,99,99
2008,1,6,21,0,90,9.4,10.4,99,99,99,999,1021.4,21.8,999,999,99,99
2008,1,6,22,0,93,8.3,9.6,99,99,99,999,1021.4,22,999,999,99,99
2008,1,6,23,0,95,8.3,9.5,99,99,99,999,1021.5,21.9,999,999,99,99
2008,1,7,0,0,95,7.7,8.6,99,99,99,999,1022.1,22.1,999,999,99,99
2008,1,7,1,0,93,7.3,8,99,99,99,999,1022.7,22,999,999,99,99
2008,1,7,2,0,94,8.3,8.9,99,99,99,999,1022.9,21.9,999,999,99,99
2008,1,7,3,0,95,9.2,9.7,99,99,99,999,1023,21.8,999,999,99,99
2008,1,7,4,0,99 1,0.4,10.9,99,99,99,999,1022.9,22.2,999,999,99,99
2008,1,7,5,0,83,9,9.9,99,99,99,999,1022.8,21.7,999,999,99,99
2008,1,7,6,0,85,9.7,10.6,99,99,99,999,1022.5,21.2,999,999,99,99
2008,1,7,7,0,79,9.6,10.3,99,99,99,999,1022.3,21.3,999,999,99,99
2008,1,7,8,0,72,9.4,10.2,99,99,99,999,1021.9,21.3,999,999,99,99
2008,1,7,9,0,75,8.8,9.6,99,99,99,999,1021.5,21.2,999,999,99,99
2008,1,7,10,0,78,8,9.2,99,99,99,999,1021.4,21.3,999,999,99,99
2008,1,7,11,0,76,8.8,10.1,99,99,99,999,1021.8,21.4,999,999,99,99
2008,1,7,12,0,69,8.8,9.6,99,99,99,999,1022.2,21.2,999,999,99,99
2008,1,7,13,0,80,9.4,10.4,99,99,99,999,1022.8,22,999,999,99,99
2008,1,7,14,0,83,8.9,9.5,99,99,99,999,1023.3,22,999,999,99,99
2008,1,7,15,0,83 1,0.2,11.3,99,99,99,999,1023.6,21.9,999,999,99,99
2008,1,7,16,0,82,9.4,10.1,99,99,99,999,1023.9,21.9,999,999,99,99
2008,1,7,17,0,88,8.9,9.8,99,99,99,999,1023.5,22,999,999,99,99
2008,1,7,18,0,87,9.1,9.9,99,99,99,999,1022.3,22.3,999,999,99,99
2008,1,7,19,0,85,7.8,8.8,99,99,99,999,1021.5,22.3,999,999,99,99
2008,1,7,20,0,92,8.9,9.8,99,99,99,999,1021.1,22.5,999,999,99,99
2008,1,7,21,0,90,8.9,9.5,99,99,99,999,1020.9,22.5,999,999,99,99
2008,1,7,22,0,95,8.6,9.3,99,99,99,999,1021.2,22.8,999,999,99,99
2008,1,7,23,0,100,8.5,9.5,99,99,99,999,1021.3,23,999,999,99,99
2008,1,8,0,0,97,7.5,8.4,99,99,99,999,1021.6,22.8,999,999,99,99
2008,1,8,1,0,109 1,0,11.3,99,99,99,999,1022,22.8,999,999,99,99
2008,1,8,2,0,98,9.2,10.2,99,99,99,999,1022.5,22.9,999,999,99,99
2008,1,8,3,0,94,9,9.9,99,99,99,999,1022.7,22.6,999,999,99,99
2008,1,8,4,0,96,8.9,10.3,99,99,99,999,1022.7,22.5,999,999,99,99
2008,1,8,5,0,96,7.2,8.4,99,99,99,999,1022.3,22.6,999,999,99,99
2008,1,8,6,0,102,8.6,8.9,99,99,99,999,1021.8,22.2,999,999,99,99
2008,1,8,7,0,103,8.6,9.2,99,99,99,999,1021.3,22.1,999,999,99,99
2008,1,8,8,0,105,7.7,8.3,99,99,99,999,1021.1,22.2,999,999,99,99
2008,1,8,9,0,100,8.2,8.8,99,99,99,999,1020.8,22.4,999,999,99,99
2008,1,8,10,0,103,8.1,8.9,99,99,99,999,1020.9,22.6,999,999,99,99
2008,1,8,11,0,99,6.6,6.9,99,99,99,999,1021,22.3,999,999,99,99
2008,1,8,12,0,101,7.4,7.7,99,99,99,999,1021.4,22.3,999,999,99,99
2008,1,8,13,0,100,7.4,8,99,99,99,999,1021.6,22.4,999,999,99,99
2008,1,8,14,0,103,8.5,9.2,99,99,99,999,1022.1,22.5,999,999,99,99
2008,1,8,15,0,100,8.3,9.6,99,99,99,999,1022.3,22.5,999,999,99,99
2008,1,8,16,0,99,8.1,8.6,99,99,99,999,1022.2,22.5,999,999,99,99
2008,1,8,17,0,101,7.7,8.2,99,99,99,999,1021.9,22.5,999,999,99,99
2008,1,8,18,0,98,8.3,9.1,99,99,99,999,1020.9,22.6,999,999,99,99
2008,1,8,19,0,98,8.2,9,99,99,99,999,1020,22.7,999,999,99,99
2008,1,8,20,0,94,8.4,9.1,99,99,99,999,1019.6,22.5,999,999,99,99
2008,1,8,21,0,93,7.5,8.6,99,99,99,999,1019.6,22.7,999,999,99,99
2008,1,8,22,0,95,6.7,7.4,99,99,99,999,1020,22.7,999,999,99,99
2008,1,8,23,0,95,7.5,7.9,99,99,99,999,1020.1,22.7,999,999,99,99
2008,1,9,0,0,94,7.2,7.6,99,99,99,999,1020.5,22.5,999,999,99,99
2008,1,9,1,0,94,7.6,8.4,99,99,99,999,1020.7,22.3,999,999,99,99
2008,1,9,2,0,99,8.2,8.8,99,99,99,999,1020.9,22.4,999,999,99,99
2008,1,9,3,0,100,8.1,8.9,99,99,99,999,1021.2,22.4,999,999,99,99
2008,1,9,4,0,106,7.7,8.9,99,99,99,999,1021.3,22.2,999,999,99,99
2008,1,9,5,0,108,8.4,9,99,99,99,999,1020.6,22.2,999,999,99,99
2008,1,9,6,0,107,7,7.5,99,99,99,999,1020.3,22.1,999,999,99,99
2008,1,9,7,0,100,6.6,6.9,99,99,99,999,1019.9,21.9,999,999,99,99
2008,1,9,8,0,93,6.4,6.8,99,99,99,999,1019.6,21.8,999,999,99,99
2008,1,9,9,0,88,6.1,6.7,99,99,99,999,1019.6,21.7,999,999,99,99
2008,1,9,10,0,58,5.9,6.3,99,99,99,999,1020.1,21.5,999,999,99,99
2008,1,9,11,0,64,6.2,7,99,99,99,999,1020,21.4,999,999,99,99
2008,1,9,12,0,67,7,7.9,99,99,99,999,1020.1,21.5,999,999,99,99
2008,1,9,13,0,63,7.2,7.9,99,99,99,999,1020.6,21.5,999,999,99,99
2008,1,9,14,0,68,6.7,7.5,99,99,99,999,1021.3,21.9,999,999,99,99
2008,1,9,15,0,74,6.4,6.9,99,99,99,999,1021.6,22.1,999,999,99,99
2008,1,9,16,0,81,5.6,6.2,99,99,99,999,1021.2,22,999,999,99,99
2008,1,9,17,0,82,6.8,7.4,99,99,99,999,1020.5,22,999,999,99,99
2008,1,9,18,0,73,6.1,6.5,99,99,99,999,1019.2,21.6,999,999,99,99
2008,1,9,19,0,81,7.4,7.7,99,99,99,999,1018.2,21.7,999,999,99,99
2008,1,9,20,0,71,6.2,6.8,99,99,99,999,1017.8,21.8,999,999,99,99
2008,1,9,21,0,73,6.2,6.5,99,99,99,999,1017.7,21.9,999,999,99,99
2008,1,9,22,0,75,5.7,6.3,99,99,99,999,1017.6,22,999,999,99,99
2008,1,9,23,0,72,5.6,6,99,99,99,999,1018,22,999,999,99,99
2008,1,10,0,0,56,6.7,7,99,99,99,999,1018.4,21.9,999,999,99,99
2008,1,10,1,0,60,5.6,5.8,99,99,99,999,1018.7,22,999,999,99,99
2008,1,10,2,0,82,5.4,5.7,99,99,99,999,1018.9,22.1,999,999,99,99
2008,1,10,3,0,76,5,5.6,99,99,99,999,1019.3,22.2,999,999,99,99
2008,1,10,4,0,89,5.2,6,99,99,99,999,1019.1,22.2,999,999,99,99
2008,1,10,5,0,105,6,6.6,99,99,99,999,1018.5,22.5,999,999,99,99
2008,1,10,6,0,91,5.9,6.3,99,99,99,999,1018.3,22.1,999,999,99,99
2008,1,10,7,0,96,6.8,7.5,99,99,99,999,1017.7,21.9,999,999,99,99
2008,1,10,8,0,94,6.6,7.1,99,99,99,999,1017.2,21.9,999,999,99,99
2008,1,10,9,0,97,6.4,6.9,99,99,99,999,1017.3,22,999,999,99,99
2008,1,10,10,0,95,6.5,7.2,99,99,99,999,1016.8,22,999,999,99,99
2008,1,10,11,0,85,6,6.6,99,99,99,999,1017.1,22.2,999,999,99,99
2008,1,10,12,0,84,7.9,8.6,99,99,99,999,1017.5,22.1,999,999,99,99
2008,1,10,13,0,88,7.3,7.9,99,99,99,999,1018.1,22,999,999,99,99
2008,1,10,14,0,95,6.5,7,99,99,99,999,1018.4,22.4,999,999,99,99
2008,1,10,15,0,100,8.2,8.6,99,99,99,999,1018.9,22.6,999,999,99,99
2008,1,10,16,0,100,8,8.7,99,99,99,999,1018.7,22.7,999,999,99,99
2008,1,10,17,0,99,8.3,8.7,99,99,99,999,1018,22.7,999,999,99,99
2008,1,10,18,0,98,6.6,7.5,99,99,99,999,1017,22.7,999,999,99,99
2008,1,10,19,0,103,6.2,6.6,99,99,99,999,1016.1,22.7,999,999,99,99
2008,1,10,20,0,97,6.6,7.1,99,99,99,999,1015.4,22.8,999,999,99,99
2008,1,10,21,0,102,7.2,7.6,99,99,99,999,1015,22.7,999,999,99,99
2008,1,10,22,0,102,6.3,7,99,99,99,999,1014.9,22.9,999,999,99,99
2008,1,10,23,0,107,6.4,7.3,99,99,99,999,1014.9,22.7,999,999,99,99
2008,1,11,0,0,109,6.7,7.4,99,99,99,999,1014.7,23.1,999,999,99,99
2008,1,11,1,0,114,6.9,8,99,99,99,999,1014.8,23.3,999,999,99,99
2008,1,11,2,0,127,7.1,7.9,99,99,99,999,1015.1,23.6,999,999,99,99
2008,1,11,3,0,132,7.9,8.6,99,99,99,999,1015.3,23.7,999,999,99,99
2008,1,11,4,0,140,7.6,8.3,99,99,99,999,1015.5,23.8,999,999,99,99
2008,1,11,5,0,138,7.6,8.8,99,99,99,999,1015.2,23.8,999,999,99,99
2008,1,11,6,0,141,7,8.1,99,99,99,999,1015.2,23.8,999,999,99,99
2008,1,11,7,0,132,6.7,7.1,99,99,99,999,1014.7,23.6,999,999,99,99
2008,1,11,8,0,142,7.7,9.8,99,99,99,999,1014.1,23.8,999,999,99,99
2008,1,11,9,0,154,6.2,6.9,99,99,99,999,1014,23.3,999,999,99,99
2008,1,11,10,0,156,5,5.6,99,99,99,999,1014,23.4,999,999,99,99
2008,1,11,11,0,153,4.4,4.9,99,99,99,999,1014,23.4,999,999,99,99
2008,1,11,12,0,148,4.1,4.4,99,99,99,999,1014.3,23.6,999,999,99,99
2008,1,11,13,0,162,5.4,5.9,99,99,99,999,1014.7,23.6,999,999,99,99
2008,1,11,14,0,156,5.3,5.6,99,99,99,999,1015.4,23.8,999,999,99,99
2008,1,11,15,0,159,5.4,5.6,99,99,99,999,1015.8,23.8,999,999,99,99
2008,1,11,16,0,161,6.5,7.4,99,99,99,999,1015.3,23.8,999,999,99,99
2008,1,11,17,0,167,5.1,5.6,99,99,99,999,1015.1,23.8,999,999,99,99
2008,1,11,18,0,164,5.6,6,99,99,99,999,1013.7,23.8,999,999,99,99
2008,1,11,19,0,160,3.6,4.1,99,99,99,999,1012.9,24,999,999,99,99
2008,1,11,20,0,147,4.7,5.4,99,99,99,999,1012.4,23.8,999,999,99,99
2008,1,11,21,0,148,3.8,4.3,99,99,99,999,1012.5,23.9,999,999,99,99
2008,1,11,22,0,145,4.4,4.9,99,99,99,999,1012.2,23.8,999,999,99,99
2008,1,11,23,0,130,2.8,3,99,99,99,999,1012.8,23.6,999,999,99,99
2008,1,12,0,0,101,3.1,3.3,99,99,99,999,1013.2,23.5,999,999,99,99
2008,1,12,1,0,79,2.3,2.6,99,99,99,999,1013.7,23.5,999,999,99,99
2008,1,12,2,0,62,3.1,3.6,99,99,99,999,1014.1,23.3,999,999,99,99
2008,1,12,3,0,111,3.3,4,99,99,99,999,1014,23.3,999,999,99,99
2008,1,12,4,0,117,4.4,4.7,99,99,99,999,1013.8,22.9,999,999,99,99
2008,1,12,5,0,125,4.2,4.5,99,99,99,999,1013.4,22.9,999,999,99,99
2008,1,12,6,0,126,3.3,3.6,99,99,99,999,1013.3,23.1,999,999,99,99
2008,1,12,7,0,158,4.4,5.1,99,99,99,999,1013.1,23.9,999,999,99,99
2008,1,12,8,0,155,4.8,5.1,99,99,99,999,1012.8,24,999,999,99,99
2008,1,12,9,0,160,3.3,3.7,99,99,99,999,1012.8,24,999,999,99,99
2008,1,12,10,0,152,4.3,4.5,99,99,99,999,1012.7,23.9,999,999,99,99
2008,1,12,11,0,195,3.3,4,99,99,99,999,1013.1,23.9,999,999,99,99
2008,1,12,12,0,215,4.3,4.9,99,99,99,999,1013.6,23.8,999,999,99,99
2008,1,12,13,0,211,3.4,3.8,99,99,99,999,1014.1,23.9,999,999,99,99
2008,1,12,14,0,186,3.8,4,99,99,99,999,1014.8,24.1,999,999,99,99
2008,1,12,15,0,186,4,4.3,99,99,99,999,1015.6,24.1,999,999,99,99
2008,1,12,16,0,179,3.2,3.5,99,99,99,999,1015.5,24.1,999,999,99,99
2008,1,12,17,0,176,3.4,3.8,99,99,99,999,1015,24.2,999,999,99,99
2008,1,12,18,0,157,3.5,3.8,99,99,99,999,1013.8,24.1,999,999,99,99
2008,1,12,19,0,164,5.2,5.5,99,99,99,999,1013.1,24,999,999,99,99
2008,1,12,20,0,178,3.7,4.1,99,99,99,999,1012.8,24.2,999,999,99,99
2008,1,12,21,0,167,3.2,3.7,99,99,99,999,1013,24.3,999,999,99,99
2008,1,12,22,0,156,4,4.3,99,99,99,999,1013.4,24.1,999,999,99,99
2008,1,12,23,0,148,3.6,4,99,99,99,999,1013.6,23.8,999,999,99,99
2008,1,13,0,0,126,3.6,3.9,99,99,99,999,1013.9,23.9,999,999,99,99
2008,1,13,1,0,115,2.7,2.9,99,99,99,999,1014.6,23.8,999,999,99,99
2008,1,13,2,0,69,1.2,1.5,99,99,99,999,1015.1,23.7,999,999,99,99
2008,1,13,3,0,114,2.6,2.6,99,99,99,999,1015.2,23.7,999,999,99,99
2008,1,13,4,0,123,3,3.1,99,99,99,999,1014.9,23.8,999,999,99,99
2008,1,13,5,0,120,2.7,2.9,99,99,99,999,1014.4,23.9,999,999,99,99
2008,1,13,6,0,147,3.1,3.3,99,99,99,999,1013.9,24,999,999,99,99
2008,1,13,7,0,125,3.3,3.6,99,99,99,999,1013.8,24,999,999,99,99
2008,1,13,8,0,124,2.4,2.5,99,99,99,999,1013.4,23.8,999,999,99,99
