#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 04 03 00  64 13.6 15.9 99.00 99.00 99.00 999 1032.2  15.9 999.0 999.0 99.0 99.00
2008 01 04 04 00  53 13.3 14.9 99.00 99.00 99.00 999 1031.9  15.7 999.0 999.0 99.0 99.00
2008 01 04 05 00  62 13.1 14.5 99.00 99.00 99.00 999 1031.7  15.8 999.0 999.0 99.0 99.00
2008 01 04 06 00  60 12.2 14.0 99.00 99.00 99.00 999 1031.1  16.0 999.0 999.0 99.0 99.00
2008 01 04 07 00  58 11.7 13.7 99.00 99.00 99.00 999 1030.4  16.0 999.0 999.0 99.0 99.00
2008 01 04 08 00  64 13.1 15.3 99.00 99.00 99.00 999 1029.8  16.0 999.0 999.0 99.0 99.00
2008 01 04 09 00  62 12.0 14.4 99.00 99.00 99.00 999 1029.6  16.5 999.0 999.0 99.0 99.00
2008 01 04 10 00  61 13.1 14.1 99.00 99.00 99.00 999 1029.6  16.2 999.0 999.0 99.0 99.00
2008 01 04 11 00  65 12.4 13.7 99.00 99.00 99.00 999 1029.8  16.6 999.0 999.0 99.0 99.00
2008 01 04 12 00  66 12.7 14.9 99.00 99.00 99.00 999 1030.4  16.9 999.0 999.0 99.0 99.00
2008 01 04 13 00  72 13.8 14.8 99.00 99.00 99.00 999 1030.8  17.2 999.0 999.0 99.0 99.00
2008 01 04 14 00  66 13.2 15.2 99.00 99.00 99.00 999 1031.2  17.8 999.0 999.0 99.0 99.00
2008 01 04 15 00  75 13.3 14.9 99.00 99.00 99.00 999 1031.7  18.1 999.0 999.0 99.0 99.00
2008 01 04 16 00  69 13.7 15.8 99.00 99.00 99.00 999 1031.7  17.6 999.0 999.0 99.0 99.00
2008 01 04 17 00  71 13.1 14.7 99.00 99.00 99.00 999 1031.1  17.9 999.0 999.0 99.0 99.00
2008 01 04 18 00  70 11.9 12.8 99.00 99.00 99.00 999 1029.9  18.0 999.0 999.0 99.0 99.00
2008 01 04 19 00  72 12.0 13.2 99.00 99.00 99.00 999 1029.0  18.2 999.0 999.0 99.0 99.00
2008 01 04 20 00  72 11.3 12.6 99.00 99.00 99.00 999 1028.4  18.6 999.0 999.0 99.0 99.00
